datetime,alive_ws,total_parsed,total_ws
2026-05-05T09:01:44.795Z,0,427,0
2026-05-05T09:02:07.440Z,0,427,0
2026-05-05T11:52:35.059Z,0,369,0
2026-05-05T17:08:19.644Z,0,272,0
2026-05-05T21:40:32.399Z,0,310,0
2026-05-06T15:54:33.771Z,0,334,0
2026-05-06T20:54:14.120Z,0,313,0
2026-05-06T23:37:00.633Z,0,366,0
2026-05-07T09:45:22.362Z,0,256,0
2026-05-07T16:26:29.208Z,0,260,0
2026-05-07T20:51:24.623Z,0,248,0
2026-05-07T23:40:25.684Z,0,279,0
2026-05-08T06:18:46.797Z,0,286,0
2026-05-08T10:59:55.540Z,0,259,0
2026-05-08T16:02:23.663Z,0,225,0
2026-05-08T20:37:03.748Z,0,229,0
2026-05-09T00:12:11.765Z,0,252,0
2026-05-09T07:26:59.776Z,0,201,0
2026-05-09T11:13:27.908Z,0,186,0
2026-05-09T14:42:23.092Z,0,210,0
2026-05-09T17:38:22.305Z,0,201,0
2026-05-09T20:08:42.187Z,0,233,0
2026-05-09T23:32:46.041Z,0,251,0
2026-05-10T07:48:48.047Z,0,258,0
2026-05-10T11:16:40.275Z,0,256,0
2026-05-10T15:17:05.837Z,0,231,0
2026-05-10T19:44:40.612Z,0,245,0
2026-05-10T22:29:59.274Z,0,265,0
2026-05-11T10:48:58.623Z,0,366,0
2026-05-11T18:03:41.457Z,0,345,0
2026-05-11T22:34:42.717Z,0,348,0
2026-05-12T08:14:38.637Z,0,280,0
2026-05-12T16:39:10.461Z,0,258,0
2026-05-12T21:51:41.371Z,0,209,0
2026-05-13T08:21:26.727Z,0,72,0
2026-05-13T17:22:53.338Z,0,76,0
2026-05-13T22:42:49.608Z,0,75,0
2026-05-14T08:20:22.593Z,0,70,0
2026-05-14T16:26:03.399Z,0,72,0
2026-05-14T21:00:14.273Z,0,62,0
2026-05-15T08:30:57.702Z,0,63,0
2026-05-15T16:16:53.533Z,0,63,0
2026-05-15T20:42:58.172Z,0,58,0
2026-05-16T00:06:17.969Z,0,60,0
2026-05-16T07:34:04.791Z,0,66,0
2026-05-16T11:32:45.998Z,0,65,0
2026-05-16T15:38:09.294Z,0,61,0
2026-05-16T19:48:10.556Z,0,64,0
