datetime,version,total_configs,cidr_priority,unique_sni
2026-05-05T08:12:10.415Z,1,399,105,23
2026-05-05T09:01:44.740Z,2,427,131,22
2026-05-05T09:02:07.375Z,3,427,131,22
2026-05-05T11:52:34.997Z,4,369,64,21
2026-05-05T17:08:19.580Z,5,272,89,21
2026-05-05T21:40:32.332Z,6,310,105,26
2026-05-06T15:54:33.698Z,7,334,79,26
2026-05-06T20:54:14.056Z,8,313,122,22
2026-05-06T23:37:00.567Z,9,366,162,21
2026-05-07T09:45:22.301Z,10,256,16,21
2026-05-07T16:26:29.147Z,11,260,11,21
2026-05-07T20:51:24.557Z,12,248,11,18
2026-05-07T23:40:25.628Z,13,279,7,19
2026-05-08T06:18:46.743Z,14,286,6,21
2026-05-08T10:59:55.485Z,15,259,6,16
2026-05-08T16:02:23.596Z,16,225,2,15
2026-05-08T20:37:03.688Z,17,229,2,15
2026-05-09T00:12:11.702Z,18,252,3,19
2026-05-09T07:26:59.714Z,19,201,3,17
2026-05-09T11:13:27.831Z,20,186,4,19
2026-05-09T14:42:23.027Z,21,210,4,18
2026-05-09T17:38:22.239Z,22,201,5,22
2026-05-09T20:08:42.123Z,23,233,3,19
2026-05-09T23:32:45.979Z,24,251,2,19
2026-05-10T07:48:47.980Z,25,258,2,21
2026-05-10T11:16:40.212Z,26,256,8,21
2026-05-10T15:17:05.773Z,27,231,4,19
2026-05-10T19:44:40.557Z,28,245,3,18
2026-05-10T22:29:59.206Z,29,265,3,21
2026-05-11T10:48:58.568Z,30,366,3,22
2026-05-11T18:03:41.389Z,31,345,3,21
2026-05-11T22:34:42.666Z,32,348,2,21
2026-05-12T08:14:38.569Z,33,280,4,22
2026-05-12T16:39:10.407Z,34,258,4,21
2026-05-12T21:51:41.305Z,35,209,3,22
2026-05-13T08:21:26.663Z,36,72,1,18
2026-05-13T17:22:53.282Z,37,76,5,20
2026-05-13T22:42:49.550Z,38,75,3,20
2026-05-14T08:20:22.535Z,39,70,4,16
2026-05-14T16:26:03.338Z,40,72,5,18
2026-05-14T21:00:14.210Z,41,62,5,18
2026-05-15T08:30:57.623Z,42,63,0,22
2026-05-15T16:16:53.470Z,43,63,3,15
2026-05-15T20:42:58.110Z,44,58,2,15
2026-05-16T00:06:17.906Z,45,60,0,16
2026-05-16T07:34:04.730Z,46,66,3,17
2026-05-16T11:32:45.935Z,47,65,4,17
2026-05-16T15:38:09.233Z,48,61,2,16
2026-05-16T19:48:10.489Z,49,64,2,17
2026-05-16T22:30:13.748Z,50,68,4,17
2026-05-17T08:00:37.658Z,51,59,2,16
2026-05-17T11:43:40.372Z,52,50,3,16
2026-05-17T15:42:12.196Z,53,58,5,16
2026-05-17T19:55:59.332Z,54,57,1,16
2026-05-17T22:38:58.224Z,55,67,2,17
2026-05-18T12:05:23.087Z,56,70,5,17
2026-05-18T19:13:58.565Z,57,64,4,15
2026-05-18T23:43:57.244Z,58,66,3,16
2026-05-19T11:42:32.977Z,59,63,5,16
2026-05-19T18:26:17.965Z,60,65,5,16
2026-05-19T22:49:06.825Z,61,62,3,16
2026-05-20T10:35:09.036Z,62,66,6,18
2026-05-20T19:34:54.242Z,63,58,1,18
2026-05-20T23:57:57.746Z,64,70,8,19
2026-05-21T11:56:09.035Z,65,74,6,19
2026-05-21T18:27:41.349Z,66,69,5,19
2026-05-21T22:54:50.509Z,67,65,2,18
2026-05-22T10:34:36.583Z,68,64,3,17
2026-05-22T17:28:32.850Z,69,57,5,16
2026-05-22T21:47:21.924Z,70,90,2,19
2026-05-23T07:39:21.631Z,71,61,4,18
2026-05-23T11:45:05.541Z,72,64,7,18
2026-05-23T15:46:51.276Z,73,73,8,20
2026-05-23T19:56:45.714Z,74,67,5,21
2026-05-23T22:38:34.278Z,75,65,0,19
2026-05-24T08:05:56.019Z,76,80,3,21
2026-05-24T12:13:10.115Z,77,81,0,19
2026-05-24T16:17:05.795Z,78,89,3,23
2026-05-24T20:15:53.467Z,79,105,5,21
2026-05-25T00:17:12.367Z,80,105,6,21
2026-05-25T12:53:16.751Z,81,98,4,21
2026-05-25T18:18:15.113Z,82,76,0,21
2026-05-25T22:38:28.064Z,83,75,5,21
2026-05-26T19:29:02.930Z,84,93,4,21
2026-05-26T23:49:32.859Z,85,98,10,23
2026-05-27T12:33:30.547Z,86,109,5,22
2026-05-27T20:36:44.036Z,87,103,6,24
2026-05-28T00:16:31.881Z,88,109,4,25
2026-05-28T12:55:26.693Z,89,109,5,23
2026-05-28T21:03:04.970Z,90,112,4,28
2026-05-29T10:57:24.459Z,91,143,4,26
2026-05-29T13:57:00.467Z,92,135,5,26
2026-05-29T17:30:43.008Z,93,128,1,25
2026-05-29T20:08:07.361Z,94,125,1,27
2026-05-29T22:24:12.620Z,95,128,1,27
2026-05-30T00:02:36.382Z,96,132,0,25
